manifest_version,item_id,lighting_type,classification_basis,verification_status,source,source_group,catalog,canonical_category_zh,name_en,name_zh,width_cm,depth_cm,height_cm,glb_url,thumbnail_url,image_url_side,image_url_angle_45,object_key,checksum,checksum_algo,license,style_primary,style_secondary
1.0,abo-bed-frames-47-amazon-brand-stone-beam-mid-century-wall-sconce-light-13-08-h-oil-rubbed-bronze,wall,分類「壁燈」,verified,abo,non-IKEA,abo_furniture,壁燈,"Amazon Brand – Stone & Beam Mid-Century Wall Sconce Light, 13.08""H, Oil-Rubbed Bronze","Stone & Beam 工業壁燈, 51526",19.70,23.00,33.20,https://ddgsm1yg3xikc.cloudfront.net/models/abo/furniture/abo-bed-frames-47-amazon-brand-stone-beam-mid-century-wall-sconce-light-13-08-h-oil-rubbed-bronze.glb,https://ddgsm1yg3xikc.cloudfront.net/images/glb-three-view/abo/front/ABO-beds-and-mattresses/ABO-bed-frames/abo-bed-frames-47-amazon-brand-stone-beam-mid-century-wall-sconce-light-13-08-h-oil-rubbed-bronze.png,https://ddgsm1yg3xikc.cloudfront.net/images/glb-three-view/abo/side/ABO-beds-and-mattresses/ABO-bed-frames/abo-bed-frames-47-amazon-brand-stone-beam-mid-century-wall-sconce-light-13-08-h-oil-rubbed-bronze.png,https://ddgsm1yg3xikc.cloudfront.net/images/glb-three-view/abo/angle-45/ABO-beds-and-mattresses/ABO-bed-frames/abo-bed-frames-47-amazon-brand-stone-beam-mid-century-wall-sconce-light-13-08-h-oil-rubbed-bronze.png,models/abo/furniture/abo-bed-frames-47-amazon-brand-stone-beam-mid-century-wall-sconce-light-13-08-h-oil-rubbed-bronze.glb,5a389f29cf17647bff63dff8ad4d6296,s3-etag,catalog-origin,industrial,modern
1.0,abo-bedside-tables-01-amazon-brand-rivet-scandinavian-real-blond-wood-table-lamp-with-marble-bottom-led-bulb-included-18-5-h-beige,table,分類「檯燈」,verified,abo,non-IKEA,abo_furniture,檯燈,"Amazon Brand – Rivet Scandinavian Real Blond-Wood Table Lamp with Marble Bottom, LED Bulb Included, 18.5""H, Beige","床邊桌 - Amazon Brand – Rivet Scandinavian Real Blond-Wood Table Lamp with Marble Bottom, LED Bulb Included, 18.5""H, Beige",22.90,22.90,47.00,https://ddgsm1yg3xikc.cloudfront.net/models/abo/furniture/abo-bedside-tables-01-amazon-brand-rivet-scandinavian-real-blond-wood-table-lamp-with-marble-bottom-led-bulb-included-18-5-h-beige.glb,https://ddgsm1yg3xikc.cloudfront.net/images/glb-three-view/abo/front/ABO-tables-and-desks/ABO-bedside-tables/abo-bedside-tables-01-amazon-brand-rivet-scandinavian-real-blond-wood-table-lamp-with-marble-bottom-led-bulb-included-18-5-h-beige.png,https://ddgsm1yg3xikc.cloudfront.net/images/glb-three-view/abo/side/ABO-tables-and-desks/ABO-bedside-tables/abo-bedside-tables-01-amazon-brand-rivet-scandinavian-real-blond-wood-table-lamp-with-marble-bottom-led-bulb-included-18-5-h-beige.png,https://ddgsm1yg3xikc.cloudfront.net/images/glb-three-view/abo/angle-45/ABO-tables-and-desks/ABO-bedside-tables/abo-bedside-tables-01-amazon-brand-rivet-scandinavian-real-blond-wood-table-lamp-with-marble-bottom-led-bulb-included-18-5-h-beige.png,models/abo/furniture/abo-bedside-tables-01-amazon-brand-rivet-scandinavian-real-blond-wood-table-lamp-with-marble-bottom-led-bulb-included-18-5-h-beige.glb,a1e894458e16d864fc24a1d3cfdbdc1f,s3-etag,catalog-origin,nordic,minimalist
1.0,abo-bedside-tables-02-amazon-brand-ravenna-home-traditional-tall-metal-table-lamp-with-stacked-oval-accents-led-bulb-included-28-25-h-dark-bronze,table,分類「檯燈」,verified,abo,non-IKEA,abo_furniture,檯燈,"Amazon Brand – Ravenna Home Traditional Tall Metal Table Lamp with Stacked Oval Accents, LED Bulb Included, 28.25""H, Dark Bronze","床邊桌 - Amazon Brand – Ravenna Home Traditional Tall Metal Table Lamp with Stacked Oval Accents, LED Bulb Included, 28.25""H, Dark Bronze",25.40,25.40,69.00,https://ddgsm1yg3xikc.cloudfront.net/models/abo/furniture/abo-bedside-tables-02-amazon-brand-ravenna-home-traditional-tall-metal-table-lamp-with-stacked-oval-accents-led-bulb-included-28-25-h-dark-bronze.glb,https://ddgsm1yg3xikc.cloudfront.net/images/glb-three-view/abo/front/ABO-tables-and-desks/ABO-bedside-tables/abo-bedside-tables-02-amazon-brand-ravenna-home-traditional-tall-metal-table-lamp-with-stacked-oval-accents-led-bulb-included-28-25-h-dark-bronze.png,https://ddgsm1yg3xikc.cloudfront.net/images/glb-three-view/abo/side/ABO-tables-and-desks/ABO-bedside-tables/abo-bedside-tables-02-amazon-brand-ravenna-home-traditional-tall-metal-table-lamp-with-stacked-oval-accents-led-bulb-included-28-25-h-dark-bronze.png,https://ddgsm1yg3xikc.cloudfront.net/images/glb-three-view/abo/angle-45/ABO-tables-and-desks/ABO-bedside-tables/abo-bedside-tables-02-amazon-brand-ravenna-home-traditional-tall-metal-table-lamp-with-stacked-oval-accents-led-bulb-included-28-25-h-dark-bronze.png,models/abo/furniture/abo-bedside-tables-02-amazon-brand-ravenna-home-traditional-tall-metal-table-lamp-with-stacked-oval-accents-led-bulb-included-28-25-h-dark-bronze.glb,fdfd3c6c6589a4af51df4a1e73c2877e,s3-etag,catalog-origin,american_classic,mid_century
1.0,abo-bedside-tables-06-amazon-brand-rivet-industrial-solid-wood-lamp-table-with-hairpin-metal-legs-23-62-w,unclassified_lighting,確認是燈具但看不出燈種,needs_review,abo,non-IKEA,abo_furniture,燈具,"Amazon Brand – Rivet Industrial Solid Wood Lamp Table with Hairpin Metal Legs, 23.62""W",鉚釘工業實木臺帶髮夾金屬腿，23.62 英寸（約 60 釐米）寬,59.90,59.90,50.00,https://ddgsm1yg3xikc.cloudfront.net/models/abo/furniture/abo-bedside-tables-06-amazon-brand-rivet-industrial-solid-wood-lamp-table-with-hairpin-metal-legs-23-62-w.glb,https://ddgsm1yg3xikc.cloudfront.net/images/glb-three-view/abo/front/ABO-tables-and-desks/ABO-bedside-tables/abo-bedside-tables-06-amazon-brand-rivet-industrial-solid-wood-lamp-table-with-hairpin-metal-legs-23-62-w.png,https://ddgsm1yg3xikc.cloudfront.net/images/glb-three-view/abo/side/ABO-tables-and-desks/ABO-bedside-tables/abo-bedside-tables-06-amazon-brand-rivet-industrial-solid-wood-lamp-table-with-hairpin-metal-legs-23-62-w.png,https://ddgsm1yg3xikc.cloudfront.net/images/glb-three-view/abo/angle-45/ABO-tables-and-desks/ABO-bedside-tables/abo-bedside-tables-06-amazon-brand-rivet-industrial-solid-wood-lamp-table-with-hairpin-metal-legs-23-62-w.png,models/abo/furniture/abo-bedside-tables-06-amazon-brand-rivet-industrial-solid-wood-lamp-table-with-hairpin-metal-legs-23-62-w.glb,d897aa2d984958c9b83a3b365642628a,s3-etag,catalog-origin,industrial,mid_century
1.0,abo-bedside-tables-09-amazon-brand-stone-beam-contemporary-metal-accent-table-lamp-led-bulb-included-32-h-dark-bronze,table,分類「檯燈」,verified,abo,non-IKEA,abo_furniture,檯燈,"Amazon Brand – Stone & Beam Contemporary Metal Accent Table Lamp, LED Bulb Included, 32""H, Dark Bronze","床邊桌 - Amazon Brand – Stone & Beam Contemporary Metal Accent Table Lamp, LED Bulb Included, 32""H, Dark Bronze",35.60,35.60,66.80,https://ddgsm1yg3xikc.cloudfront.net/models/abo/furniture/abo-bedside-tables-09-amazon-brand-stone-beam-contemporary-metal-accent-table-lamp-led-bulb-included-32-h-dark-bronze.glb,https://ddgsm1yg3xikc.cloudfront.net/images/glb-three-view/abo/front/ABO-tables-and-desks/ABO-bedside-tables/abo-bedside-tables-09-amazon-brand-stone-beam-contemporary-metal-accent-table-lamp-led-bulb-included-32-h-dark-bronze.png,https://ddgsm1yg3xikc.cloudfront.net/images/glb-three-view/abo/side/ABO-tables-and-desks/ABO-bedside-tables/abo-bedside-tables-09-amazon-brand-stone-beam-contemporary-metal-accent-table-lamp-led-bulb-included-32-h-dark-bronze.png,https://ddgsm1yg3xikc.cloudfront.net/images/glb-three-view/abo/angle-45/ABO-tables-and-desks/ABO-bedside-tables/abo-bedside-tables-09-amazon-brand-stone-beam-contemporary-metal-accent-table-lamp-led-bulb-included-32-h-dark-bronze.png,models/abo/furniture/abo-bedside-tables-09-amazon-brand-stone-beam-contemporary-metal-accent-table-lamp-led-bulb-included-32-h-dark-bronze.glb,18c6c345b654e0375d72b9630fdf28c8,s3-etag,catalog-origin,industrial,contemporary
1.0,abo-bedside-tables-100-amazon-brand-stone-beam-ceramic-table-lamp-with-led-light-bulb-16-h-grey,table,分類「檯燈」,verified,abo,non-IKEA,abo_furniture,檯燈,"Amazon Brand – Stone & Beam Ceramic Table Lamp with LED Light Bulb, 16""H, Grey","Stone & Beam 陶瓷檯燈 帶 LED 燈泡, 21951-000",23.50,23.50,33.00,https://ddgsm1yg3xikc.cloudfront.net/models/abo/furniture/abo-bedside-tables-100-amazon-brand-stone-beam-ceramic-table-lamp-with-led-light-bulb-16-h-grey.glb,https://ddgsm1yg3xikc.cloudfront.net/images/glb-three-view/abo/front/ABO-tables-and-desks/ABO-bedside-tables/abo-bedside-tables-100-amazon-brand-stone-beam-ceramic-table-lamp-with-led-light-bulb-16-h-grey.png,https://ddgsm1yg3xikc.cloudfront.net/images/glb-three-view/abo/side/ABO-tables-and-desks/ABO-bedside-tables/abo-bedside-tables-100-amazon-brand-stone-beam-ceramic-table-lamp-with-led-light-bulb-16-h-grey.png,https://ddgsm1yg3xikc.cloudfront.net/images/glb-three-view/abo/angle-45/ABO-tables-and-desks/ABO-bedside-tables/abo-bedside-tables-100-amazon-brand-stone-beam-ceramic-table-lamp-with-led-light-bulb-16-h-grey.png,models/abo/furniture/abo-bedside-tables-100-amazon-brand-stone-beam-ceramic-table-lamp-with-led-light-bulb-16-h-grey.glb,69e1cab85545f85e08fa5fc563df3011,s3-etag,catalog-origin,minimalist,contemporary
1.0,abo-bedside-tables-101-amazon-brand-stone-beam-contemporary-textured-2-tone-resin-table-lamp-led-bulb-included-24-5-h-gray,table,分類「檯燈」,verified,abo,non-IKEA,abo_furniture,檯燈,"Amazon Brand – Stone & Beam Contemporary Textured 2-Tone Resin Table Lamp, LED Bulb Included, 24.5""H, Gray","床邊桌 - Amazon Brand – Stone & Beam Contemporary Textured 2-Tone Resin Table Lamp, LED Bulb Included, 24.5""H, Gray",32.40,32.40,62.20,https://ddgsm1yg3xikc.cloudfront.net/models/abo/furniture/abo-bedside-tables-101-amazon-brand-stone-beam-contemporary-textured-2-tone-resin-table-lamp-led-bulb-included-24-5-h-gray.glb,https://ddgsm1yg3xikc.cloudfront.net/images/glb-three-view/abo/front/ABO-tables-and-desks/ABO-bedside-tables/abo-bedside-tables-101-amazon-brand-stone-beam-contemporary-textured-2-tone-resin-table-lamp-led-bulb-included-24-5-h-gray.png,https://ddgsm1yg3xikc.cloudfront.net/images/glb-three-view/abo/side/ABO-tables-and-desks/ABO-bedside-tables/abo-bedside-tables-101-amazon-brand-stone-beam-contemporary-textured-2-tone-resin-table-lamp-led-bulb-included-24-5-h-gray.png,https://ddgsm1yg3xikc.cloudfront.net/images/glb-three-view/abo/angle-45/ABO-tables-and-desks/ABO-bedside-tables/abo-bedside-tables-101-amazon-brand-stone-beam-contemporary-textured-2-tone-resin-table-lamp-led-bulb-included-24-5-h-gray.png,models/abo/furniture/abo-bedside-tables-101-amazon-brand-stone-beam-contemporary-textured-2-tone-resin-table-lamp-led-bulb-included-24-5-h-gray.glb,f80e1c1a8d38f79256e3116671d13705,s3-etag,catalog-origin,contemporary,minimalist
1.0,abo-bedside-tables-102-amazon-brand-ravenna-home-iron-wave-table-and-floor-lamp-set-with-led-light-bulbs-set-of-3-silver,floor,分類「落地燈」,verified,abo,non-IKEA,abo_furniture,落地燈,"Amazon Brand – Ravenna Home Iron Wave Table and Floor Lamp Set with LED Light Bulbs, Set of 3, Silver","Amazon Brand – Ravenna Home 鐵波臺和落地燈套裝,帶 LED 燈泡,3 件套,銀色",124.50,33.50,151.80,https://ddgsm1yg3xikc.cloudfront.net/models/abo/furniture/abo-bedside-tables-102-amazon-brand-ravenna-home-iron-wave-table-and-floor-lamp-set-with-led-light-bulbs-set-of-3-silver.glb,https://ddgsm1yg3xikc.cloudfront.net/images/glb-three-view/abo/front/ABO-tables-and-desks/ABO-bedside-tables/abo-bedside-tables-102-amazon-brand-ravenna-home-iron-wave-table-and-floor-lamp-set-with-led-light-bulbs-set-of-3-silver.png,https://ddgsm1yg3xikc.cloudfront.net/images/glb-three-view/abo/side/ABO-tables-and-desks/ABO-bedside-tables/abo-bedside-tables-102-amazon-brand-ravenna-home-iron-wave-table-and-floor-lamp-set-with-led-light-bulbs-set-of-3-silver.png,https://ddgsm1yg3xikc.cloudfront.net/images/glb-three-view/abo/angle-45/ABO-tables-and-desks/ABO-bedside-tables/abo-bedside-tables-102-amazon-brand-ravenna-home-iron-wave-table-and-floor-lamp-set-with-led-light-bulbs-set-of-3-silver.png,models/abo/furniture/abo-bedside-tables-102-amazon-brand-ravenna-home-iron-wave-table-and-floor-lamp-set-with-led-light-bulbs-set-of-3-silver.glb,d5576e4ccaa6f856a22116c75db3e8c4,s3-etag,catalog-origin,contemporary,modern
1.0,abo-bedside-tables-104-amazon-brand-ravenna-home-traditional-metal-downbridge-floor-lamp-with-adjustable-shade-led-bulb-included-58-25-h-dark-bronze,floor,分類「落地燈」,verified,abo,non-IKEA,abo_furniture,落地燈,"Amazon Brand – Ravenna Home Traditional Metal Downbridge Floor Lamp with Adjustable Shade, LED Bulb Included, 58.25""H, Dark Bronze","床邊桌 - Amazon Brand – Ravenna Home Traditional Metal Downbridge Floor Lamp with Adjustable Shade, LED Bulb Included, 58.25""H, Dark Bronze",25.40,50.80,147.80,https://ddgsm1yg3xikc.cloudfront.net/models/abo/furniture/abo-bedside-tables-104-amazon-brand-ravenna-home-traditional-metal-downbridge-floor-lamp-with-adjustable-shade-led-bulb-included-58-25-h-dark-bronze.glb,https://ddgsm1yg3xikc.cloudfront.net/images/glb-three-view/abo/front/ABO-tables-and-desks/ABO-bedside-tables/abo-bedside-tables-104-amazon-brand-ravenna-home-traditional-metal-downbridge-floor-lamp-with-adjustable-shade-led-bulb-included-58-25-h-dark-bronze.png,https://ddgsm1yg3xikc.cloudfront.net/images/glb-three-view/abo/side/ABO-tables-and-desks/ABO-bedside-tables/abo-bedside-tables-104-amazon-brand-ravenna-home-traditional-metal-downbridge-floor-lamp-with-adjustable-shade-led-bulb-included-58-25-h-dark-bronze.png,https://ddgsm1yg3xikc.cloudfront.net/images/glb-three-view/abo/angle-45/ABO-tables-and-desks/ABO-bedside-tables/abo-bedside-tables-104-amazon-brand-ravenna-home-traditional-metal-downbridge-floor-lamp-with-adjustable-shade-led-bulb-included-58-25-h-dark-bronze.png,models/abo/furniture/abo-bedside-tables-104-amazon-brand-ravenna-home-traditional-metal-downbridge-floor-lamp-with-adjustable-shade-led-bulb-included-58-25-h-dark-bronze.glb,3abf6f67c145033ac169f0fcfdded7f8,s3-etag,catalog-origin,industrial,contemporary
1.0,abo-bedside-tables-111-amazon-brand-stone-beam-contemporary-2-tone-textured-ceramic-table-lamp-led-bulb-included-17-75-h-gray,table,分類「檯燈」,verified,abo,non-IKEA,abo_furniture,檯燈,"Amazon Brand – Stone & Beam Contemporary 2-Tone Textured Ceramic Table Lamp, LED Bulb Included, 17.75""H, Gray","床邊桌 - Amazon Brand – Stone & Beam Contemporary 2-Tone Textured Ceramic Table Lamp, LED Bulb Included, 17.75""H, Gray",25.40,25.40,45.20,https://ddgsm1yg3xikc.cloudfront.net/models/abo/furniture/abo-bedside-tables-111-amazon-brand-stone-beam-contemporary-2-tone-textured-ceramic-table-lamp-led-bulb-included-17-75-h-gray.glb,https://ddgsm1yg3xikc.cloudfront.net/images/glb-three-view/abo/front/ABO-tables-and-desks/ABO-bedside-tables/abo-bedside-tables-111-amazon-brand-stone-beam-contemporary-2-tone-textured-ceramic-table-lamp-led-bulb-included-17-75-h-gray.png,https://ddgsm1yg3xikc.cloudfront.net/images/glb-three-view/abo/side/ABO-tables-and-desks/ABO-bedside-tables/abo-bedside-tables-111-amazon-brand-stone-beam-contemporary-2-tone-textured-ceramic-table-lamp-led-bulb-included-17-75-h-gray.png,https://ddgsm1yg3xikc.cloudfront.net/images/glb-three-view/abo/angle-45/ABO-tables-and-desks/ABO-bedside-tables/abo-bedside-tables-111-amazon-brand-stone-beam-contemporary-2-tone-textured-ceramic-table-lamp-led-bulb-included-17-75-h-gray.png,models/abo/furniture/abo-bedside-tables-111-amazon-brand-stone-beam-contemporary-2-tone-textured-ceramic-table-lamp-led-bulb-included-17-75-h-gray.glb,18976dbb9cca7ae07d72899f6766b05c,s3-etag,catalog-origin,contemporary,minimalist
