current_type_code,recommended_type_code,item_count,role_code,role_zh,canonical_category_zh,current_category_variant_count,current_category_examples,kinds,sources,migration_note
air-conditioner,air-conditioner,26,appliance,家電,冷氣,1,冷氣 (26),"appliance, furniture","abo, sf",
air-purifier,air-purifier,14,appliance,家電,空氣清淨機,1,空氣清淨機Air purifiers (14),appliance,ikea,
armchair,armchair,115,secondary_seating,輔助座位,扶手椅,6,扶手椅Armchairs (94) | 兒童扶手椅Kids Armchairs (11) | 兒童椅與凳子Kids_ chairs and stools (4) | 兒童扶手椅Kids_ armchairs (3) | 兒童椅與凳子Kids Chairs Stools (2) | 戶外傢俱Outdoor Furniture (1),furniture,ikea,
bar-table,bar-table,17,surface,桌面,吧檯桌,2,吧檯桌Bar Tables (11) | 吧台桌Bar tables (6),furniture,ikea,
bed,bed,81,sleeping,睡眠,床,2,床 (60) | 床Beds (21),furniture,"abo, ikea",
bed-frame,bed-frame,328,sleeping,睡眠,床架,3,床架 (234) | 床架Bed Frames (74) | 床架Bed frames (20),furniture,"abo, ikea",
bedside-table,bedside-table,61,surface,桌面,床邊桌,2,床邊桌Bedside tables (35) | 床邊桌Bedside Tables (26),furniture,ikea,
bookcase,bookcase,231,storage,收納,書櫃,6,書櫃 (129) | 書櫃Bookcases (76) | 櫃子與櫥櫃Cabinets and cupboards (14) | 展示櫃Display cabinets (7) | 展示櫃Display Cabinets (4) | 櫃子與櫥櫃Cabinets Cupboards (1),furniture,"abo, ikea",
cabinet-cupboard,cabinet-cupboard,84,storage,收納,櫃體,1,櫃體 (84),furniture,abo,
cabinets-cupboard,cabinet-cupboard,65,storage,收納,櫃體,2,櫃子與櫥櫃Cabinets Cupboards (36) | 櫃子與櫥櫃Cabinets and cupboards (29),furniture,ikea,標準 type alias；保留 source_type_code 追溯
ceiling-lamp,ceiling-lamp,2,lighting,照明,吸頂燈,2,戶外家具 (1) | 燈具Lamps (1),furniture,"abo, ikea",
chair,chair,9,secondary_seating,輔助座位,椅子,1,椅子Chairs (9),furniture,ikea,
chests-of-drawer,chest-of-drawers,130,storage,收納,抽屜櫃,9,抽屜櫃 (46) | 抽屜櫃Chests of drawers (29) | 床 (24) | 抽屜櫃Chests Of Drawers (20) | 沙發 (4) | 書桌 (3) | 床架 (2) | 燈具 (1),furniture,"abo, ikea",標準 type alias；保留 source_type_code 追溯
childrens-furniture,childrens-furniture,13,secondary_seating,輔助座位,兒童家具,2,兒童傢俱Childrens furniture (10) | 兒童家具Children_s furniture (3),furniture,ikea,
childrens-rugs-curtain,childrens-rugs-curtain,16,soft_furnishing,軟裝,兒童地毯與窗簾,2,兒童地毯與窗簾Children_s rugs and curtains (14) | 兒童地毯與窗簾Childrens rugs and curtains (2),furniture,ikea,
